studentId,kuSubjectId
64…295;,01417267/02204271/02204361
64…296;,01420111/01420113/01417167
64…297;,02204271/01417267/01417267
64…298;,01417267
64…299;,01417267
64…300;,01420111
64…302;,01417267
64…305;,01417267
64…307;,01417267
64…308;,01417267/02204361
64…310;,02204121/02204172/02204122/01420113
64…311;,02204172/01417168/02204122/02204111/01420114/01420112
64…312;,02204122/01420114/02204172/01417168/02204121
64…313;,02204311/02204351/02204361
64…315;,01417267
64…316;,01420111/01420113/02204171/01417167
64…317;,01417267
64…319;,01417267
64…320;,01420114/02204111/02204172/01417168/01420112/02204121/02204321
64…321;,02204221
64…322;,02204231/02204223/01417267
64…323;,01417267
64…324;,01417267
64…325;,01417267
64…327;,02204271/02204223/01417267
64…329;,02204271
64…330;,02204111/02204221/02204172/01417168/01420112/02204121/02204122/01403117/01420114
64…331;,01417267
64…332;,01417267
64…334;,02204223
64…335;,02204271/01417267/02204223/01417267/02204271/02204311/02204361
64…338;,01417267
